location,concentration,unit,start,end
ZooPark,18.50,µg/m3,2016-09-11T18:30:00Z,2016-09-11T18:30:00Z
ZooPark,21.00,µg/m3,2016-09-11T19:30:00Z,2016-09-11T19:30:00Z
ZooPark,17.00,µg/m3,2016-09-11T20:30:00Z,2016-09-11T20:30:00Z
ZooPark,10.00,µg/m3,2016-09-11T21:30:00Z,2016-09-11T21:30:00Z
ZooPark,11.00,µg/m3,2016-09-11T22:30:00Z,2016-09-11T22:30:00Z
ZooPark,18.00,µg/m3,2016-09-12T01:30:00Z,2016-09-12T01:30:00Z
ZooPark,26.00,µg/m3,2016-09-12T02:30:00Z,2016-09-12T02:30:00Z
ZooPark,28.50,µg/m3,2016-09-12T03:30:00Z,2016-09-12T03:30:00Z
ZooPark,26.00,µg/m3,2016-09-12T06:30:00Z,2016-09-12T06:30:00Z
ZooPark,26.00,µg/m3,2016-09-12T07:30:00Z,2016-09-12T07:30:00Z
ZooPark,28.50,µg/m3,2016-09-12T08:30:00Z,2016-09-12T08:30:00Z
ZooPark,35.33,µg/m3,2016-09-12T09:30:00Z,2016-09-12T09:30:00Z
ZooPark,32.25,µg/m3,2016-09-12T10:30:00Z,2016-09-12T10:30:00Z
ZooPark,29.00,µg/m3,2016-09-12T11:30:00Z,2016-09-12T11:30:00Z
ZooPark,35.00,µg/m3,2016-09-12T12:30:00Z,2016-09-12T12:30:00Z
ZooPark,23.00,µg/m3,2016-09-12T13:30:00Z,2016-09-12T13:30:00Z
ZooPark,32.50,µg/m3,2016-09-12T14:30:00Z,2016-09-12T14:30:00Z
ZooPark,30.75,µg/m3,2016-09-12T15:30:00Z,2016-09-12T15:30:00Z
ZooPark,20.67,µg/m3,2016-09-12T16:30:00Z,2016-09-12T16:30:00Z
ZooPark,19.50,µg/m3,2016-09-12T17:30:00Z,2016-09-12T17:30:00Z
ZooPark,NA,NA,NA,NA
ZooPark,NA,NA,NA,NA
ZooPark,20.67,µg/m3,2016-09-12T18:30:00Z,2016-09-12T18:30:00Z
ZooPark,22.25,µg/m3,2016-09-12T19:30:00Z,2016-09-12T19:30:00Z
ZooPark,13.50,µg/m3,2016-09-12T20:30:00Z,2016-09-12T20:30:00Z
ZooPark,20.75,µg/m3,2016-09-12T21:30:00Z,2016-09-12T21:30:00Z
ZooPark,18.00,µg/m3,2016-09-12T22:30:00Z,2016-09-12T22:30:00Z
ZooPark,14.00,µg/m3,2016-09-12T23:30:00Z,2016-09-12T23:30:00Z
ZooPark,21.25,µg/m3,2016-09-13T00:30:00Z,2016-09-13T00:30:00Z
ZooPark,23.67,µg/m3,2016-09-13T01:30:00Z,2016-09-13T01:30:00Z
ZooPark,18.50,µg/m3,2016-09-13T02:30:00Z,2016-09-13T02:30:00Z
ZooPark,13.75,µg/m3,2016-09-13T03:30:00Z,2016-09-13T03:30:00Z
ZooPark,22.00,µg/m3,2016-09-13T04:30:00Z,2016-09-13T04:30:00Z
ZooPark,6.67,µg/m3,2016-09-13T05:30:00Z,2016-09-13T05:30:00Z
ZooPark,11.25,µg/m3,2016-09-13T06:30:00Z,2016-09-13T06:30:00Z
ZooPark,24.75,µg/m3,2016-09-13T07:30:00Z,2016-09-13T07:30:00Z
ZooPark,17.00,µg/m3,2016-09-13T08:30:00Z,2016-09-13T08:30:00Z
ZooPark,14.75,µg/m3,2016-09-13T09:30:00Z,2016-09-13T09:30:00Z
